,latitude,longitude
0,,
1,,
2,39.03397,-108.21391
3,39.04307,-108.06467
4,39.04404,-108.06224
5,39.044,-108.06216
6,39.05093,-108.0613
7,39.0441,-108.06182
8,39.05089,-108.06132
9,39.05096,-108.06127
10,39.04391,-108.06235
11,39.04395,-108.06235
12,39.04404,-108.06216
13,,
14,,
15,,
16,39.0429,-108.06502
17,39.05107,-108.06255
18,39.05097,-108.06273
19,39.05089,-108.06278
20,39.03043,-108.03216
21,39.0452,-108.06265
22,39.04272,-108.06464
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,40.03213,-105.54619
41,40.03213,-105.54619
42,40.03213,-105.54619
43,40.04017,-105.55717
44,40.04009,-105.55703
45,40.03998,-105.55703
46,40.03987,-105.55703
47,40.03317,-105.55362
48,40.03212,-105.54606
49,40.03208,-105.54626
50,40.03212,-105.54606
51,40.03606,-105.55197
52,40.0357,-105.552
53,40.03588,-105.55221
54,40.03581,-105.55206
55,40.03188,-105.54714
56,4.10115,-105.42057
57,40.03193,-105.5472
58,40.03316,-105.55348
59,40.03323,-105.55354
60,40.03318,-105.55361
61,40.03568,-105.55187
62,40.03575,-105.55209
63,40.03148,-105.54673
64,40.03569,-105.55199
65,40.03573,-105.5519
66,40.03315,-105.5435
67,40.03568,-105.55187
68,4.10148,-105.42023
69,40.03155,-105.54669
70,40.0336,-105.55424
71,40.03363,-105.55426
72,40.03361,-105.55409
73,40.0337,-105.55403
74,40.04022,-105.55691
75,40.04037,-105.55691
76,40.04027,-105.55684
77,40.04036,-105.55672
78,40.03576,-105.55216
79,40.03563,-105.55199
80,40.03563,-105.5519
81,40.03604,-105.5524
82,40.03604,-105.55224
83,4.09605,-105.42564
84,40.03314,-105.55338
85,40.0403,-105.55697
86,40.04032,-105.5569
87,38.92659,-106.97971
88,40.04034,-105.55724
89,40.04025,-105.55724
90,40.03574,-105.5521
91,38.92657,-106.97986
92,38.92528,-106.97094
93,38.92534,-106.97095
94,38.92529,-106.97108
95,38.92973,-106.97809
96,38.9297,-106.97818
97,38.92978,-106.97814
98,38.92893,-106.97759
99,38.92892,-106.97768
100,38.92887,-106.97758
101,38.92669,-106.97835
102,38.92664,-106.97849
103,38.92667,-106.9785
104,38.92632,-106.97921
105,38.92638,-106.97933
106,38.92635,-106.97915
107,38.92667,-106.97976
108,38.92663,-106.98
109,38.93336,-106.9899
110,38.9333,-106.98992
111,38.93315,-106.98975
112,38.92532,-106.97115
113,38.92533,-106.97116
114,38.92924,-106.97778
115,38.92947,-106.97789
116,38.92938,-106.97777
117,38.92665,-106.97862
118,38.92876,-106.97992
119,38.92881,-106.97781
120,38.92878,-106.97781
121,38.92967,-106.97829
122,38.92665,-106.97862
123,38.92648,-106.97928
124,38.92648,-106.97927
125,38.92633,-106.97924
126,38.92664,-106.97982
127,38.93343,-106.98983
128,38.9333,-106.98993
129,38.92529,-106.97107
130,38.92524,-106.97112
131,38.93331,-106.98987
132,38.92529,-106.97114
133,38.92682,-106.97995
134,38.92653,-106.97835
135,38.92658,-106.97845
136,38.92649,-106.97842
137,38.92681,-106.98001
138,38.92679,-106.98001
139,38.92974,-106.97822
140,38.92974,-106.97817
141,38.92977,-106.9782
142,38.92938,-106.97774
143,38.92941,-106.97768
144,38.92947,-106.97775
145,38.92902,-106.97762
146,38.92617,-106.97888
147,38.92619,-106.979
148,38.92611,-106.97896
149,38.92899,-106.97747
150,38.92908,-106.97752
151,38.93334,-106.99005
152,38.93337,-106.99008
153,38.92972,-106.9784
154,38.92521,-106.97116
155,38.93334,-106.99004
156,38.9295,-106.97779
157,38.9295,-106.97776
158,38.92949,-106.97779
159,38.92908,-106.97738
160,38.92905,-106.97739
161,38.92902,-106.97743
162,38.93329,-106.98996
163,38.92616,-106.97882
164,38.93329,-106.98999
165,38.93329,-106.99
166,38.92971,-106.97826
167,38.92612,-106.97886
168,38.92616,-106.97882
169,38.92971,-106.9783
170,38.92982,-106.97841
171,38.92965,-106.97818
172,38.92658,-106.97979
173,38.9292,-106.9777
174,38.9292,-106.9777
175,38.9292,-106.9777
176,38.9292,-106.9777
177,38.9292,-106.9777
178,38.92668,-106.97971
179,38.92967,-106.97829
180,38.92529,-106.97108
181,38.92534,-106.97095
182,38.92528,-106.97094
183,38.92532,-106.97115
184,38.92533,-106.97116
185,38.92524,-106.97112
186,38.92529,-106.97107
187,38.92529,-106.97114
188,38.92521,-106.97116
189,38.93336,-106.9899
190,38.9333,-106.98992
191,38.93315,-106.98975
192,38.93331,-106.98987
193,38.9333,-106.98993
194,38.93343,-106.98983
195,38.93334,-106.99004
196,38.93337,-106.99008
197,38.93334,-106.99005
198,38.93329,-106.98999
199,38.93329,-106.99
200,38.93329,-106.98996
201,38.9292,-106.9777
202,38.9292,-106.9777
203,38.9292,-106.9777
204,38.9292,-106.9777
205,38.9292,-106.9777
206,38.9297,-106.97818
207,38.92973,-106.97809
208,38.92978,-106.97814
209,38.92971,-106.97826
210,38.92965,-106.97818
211,38.92967,-106.97829
212,38.92974,-106.97822
213,38.92974,-106.97817
214,38.92977,-106.9782
215,38.92971,-106.9783
216,38.92972,-106.9784
217,38.92982,-106.97841
218,38.92947,-106.97789
219,38.92938,-106.97777
220,38.92924,-106.97778
221,38.92938,-106.97774
222,38.92941,-106.97768
223,38.92947,-106.97775
224,38.9295,-106.97779
225,38.9295,-106.97776
226,38.92949,-106.97779
227,38.92892,-106.97768
228,38.92887,-106.97758
229,38.92893,-106.97759
230,38.92876,-106.97992
231,38.92881,-106.97781
232,38.92878,-106.97781
233,38.92899,-106.97747
234,38.92908,-106.97752
235,38.92902,-106.97762
236,38.92908,-106.97738
237,38.92905,-106.97739
238,38.92902,-106.97743
239,38.92669,-106.97835
240,38.92664,-106.97849
241,38.92667,-106.9785
242,38.92665,-106.97862
243,38.92967,-106.97829
244,38.92665,-106.97862
245,38.92658,-106.97845
246,38.92653,-106.97835
247,38.92649,-106.97842
248,38.92632,-106.97921
249,38.92635,-106.97915
250,38.92638,-106.97933
251,38.92648,-106.97928
252,38.92648,-106.97927
253,38.92633,-106.97924
254,38.92617,-106.97888
255,38.92619,-106.979
256,38.92611,-106.97896
257,38.92612,-106.97886
258,38.92616,-106.97882
259,38.92616,-106.97882
260,38.92667,-106.97976
261,38.92657,-106.97986
262,38.92663,-106.98
263,38.92658,-106.97979
264,38.92664,-106.97982
265,38.92668,-106.97971
266,38.92682,-106.97995
267,38.92681,-106.98001
268,38.92679,-106.98001
