,Filename,PitID,Location,Site,Surveyor,Date,Time
68,20200201_CB_Aspen_1,1,CB,Aspen,"ES, MR",2/1/20,15:24
3,20200201_CB_Aspen_2,2,CB,Aspen,"ES, MR",2/1/20,15:50
0,20200201_CB_Aspen_3,3,CB,Aspen,"ES, MR",2/1/20,16:10
70,20200226_CB_Aspen_1,2,CB,Aspen,ES,2/26/20,16:00
37,20200427_CB_Aspen_2,2,CB,Aspen,IH,4/27/20,9:30
35,20200427_CB_Aspen_1,1,CB,Aspen,IH,4/27/20,9:45
38,20200427_CB_Aspen_3,3,CB,Aspen,IH,4/27/20,10:15
53,20200512_CB_Aspen_1,1,CB,Aspen,IH,5/12/20,14:30
8,20200201_CB_F12_2,2,CB,F12,ES,2/1/20,12:32
18,20200226_CB_F12_3,3,CB,F12,HB,2/26/20,12:41
23,20200226_CB_F12_2,2,CB,F12,ES,2/26/20,12:41
22,20200226_CB_F12_1,1,CB,F12,ES,2/26/20,
39,20200428_CB_F12_1,1,CB,F12,IH,4/28/20,14:00
25,20200428_CB_F12_2,2,CB,F12,IH,4/28/20,14:15
80,20200428_CB_F12_3,3,CB,F12,IH,4/28/20,14:45
55,20200512_CB_F12_1,1,CB,F12,IH,5/12/20,10:30
52,20200512_CB_F12_2,2,CB,F12,IH,5/12/20,10:45
57,20200512_CB_F12_3,3,CB,F12,IH,5/12/20,11:00
2,20200201_CB_F12_1,1,CB,F12 ,ES,2/1/20,11:54
7,20200201_CB_F12_3,3,CB,F12 ,ES,2/1/20,13:05
17,20200226_CB_F13_1,1,CB,F13,HB,2/26/20,11:15
19,20200226_CB_F13_3,3,CB,F13,HB,2/26/20,11:55
81,20200428_CB_F13_1,1,CB,F13,IH,4/28/20,12:30
82,20200428_CB_F13_2,2,CB,F13,IH,4/28/20,12:45
32,20200428_CB_F13_3,3,CB,F13,IH,4/28/20,13:00
54,20200512_CB_F13_1,1,CB,F13,IH,5/12/20,11:15
59,20200512_CB_F13_2,2,CB,F13,IH,5/12/20,11:30
58,20200512_CB_F13_3,3,CB,F13,IH,5/12/20,12:00
61,20200201_CB_F14_2,2,CB,F14,"GC, MR",2/1/20,10:40
5,20200201_CB_F14_1,1,CB,F14,"GC, MR",2/1/20,13:00
4,20200201_CB_F14_3,3,CB,F14,"GC, MR",2/1/20,13:50
20,20200226_CB_F14_2,2,CB,F14,HB,2/26/20,10:07
21,20200226_CB_F14_1,1,CB,F14,AK,2/26/20,10:24
11,20200226_CB_F14_3,3,CB,F14,HB,2/26/20,10:40
27,20200428_CB_F14_1,1,CB,F14,IH,4/28/20,10:15
30,20200428_CB_F14_2,2,CB,F14,IH,4/28/20,10:45
33,20200428_CB_F14_3,3,CB,F14,IH,4/28/20,11:15
56,20200512_CB_F14_1,1,CB,F14,IH,5/12/20,12:30
60,20200512_CB_F14_2,2,CB,F14,IH,5/12/20,13:00
51,20200512_CB_F14_3,3,CB,F14,IH,5/12/20,13:30
69,20200201_CB_O2_2,2,CB,O2,"ER, MR",2/1/20,9:50
88,20200201_CB_O2_1,1,CB,O2,"LH, ER",2/1/20,11:20
10,20200201_CB_O2_3,3,CB,O2,"LH, ER",2/1/20,12:20
79,20200226_CB_O2_2,2,CB,O2,ES,2/26/20,10:00
14,20200226_CB_O2_1,1,CB,O2,"LH, ER",2/26/20,10:18
73,20200226_CB_O2_3,3,CB,O2,"LH, ER",2/26/20,11:20
42,20200427_CB_O2_1,1,CB,O2,IH,4/27/20,11:45
40,20200427_CB_O2_2,2,CB,O2,IH,4/27/20,12:15
43,20200427_CB_O2_3,3,CB,O2,IH,4/27/20,12:45
63,20200201_CB_O4_1,1,CB,O4,AK,2/1/20,10:00
62,20200201_CB_O4_2,2,CB,O4,AK,2/1/20,11:15
64,20200201_CB_O4_3,3,CB,O4,AK,2/1/20,12:15
12,20200226_CB_O4_1,1,CB,O4,"LH, ER",2/26/20,12:30
15,20200226_CB_O4_2,2,CB,O4,"LH, ER",2/26/20,13:30
74,20200226_CB_O4_3,3,CB,O4,LH,2/26/20,14:25
28,20200428_CB_O4_1,1,CB,O4,IH,4/28/20,8:30
31,20200428_CB_O4_2,2,CB,O4,IH,4/28/20,9:00
29,20200428_CB_O4_3,3,CB,O4,IH,4/28/20,9:15
46,20200513_CB_O4_1,1,CB,O4,IH,5/13/20,8:45
45,20200513_CB_O4_3,3,CB,O4,IH,5/13/20,9:00
50,20200513_CB_O4_2,2,CB,O4,IH,5/13/20,9:00
65,20200201_CB_O6_1,1,CB,O6,"LH, ER",2/1/20,14:00
67,20200201_CB_O6_3,3,CB,O6,IR,2/1/20,15:00
13,20200226_CB_O6_1,1,CB,O6,HB,2/26/20,14:28
75,20200226_CB_O6_2,2,CB,O6,"LH, ER",2/26/20,14:58
76,20200226_CB_O6_3,3,CB,O6,"HB, ES",2/26/20,14:58
36,20200427_CB_O6_1,1,CB,O6,IH,4/27/20,13:45
41,20200427_CB_O6_2,2,CB,O6,IH,4/27/20,14:30
44,20200427_CB_O6_3,3,CB,O6,IH,4/27/20,14:45
83,20200202_CB_Trench13_SouthOpen,SouthOpen,CB,Trench13,"LH, ER, ES",2/2/20,10:30
84,20200202_CB_Trench13_MiddleCanopy,MiddleCanopy,CB,Trench13,,2/2/20,
85,20200202_CB_Trench13_NorthOpen,NorthOpen,CB,Trench13,"LH, ER",2/2/20,
86,20200202_CB_Trench13_SouthEdge,SouthEdge,CB,Trench13,"LH, ER",2/2/20,
87,20200202_CB_Trench13_NorthEdge,NorthEdge,CB,Trench13,,2/2/20,
1,20200202_CB_Upper_1,1,CB,Upper,"AK, GC",2/2/20,10:30
6,20200202_CB_Upper_2,2,CB,Upper,"AK, GC",2/2/20,11:20
9,20200202_CB_Upper_3,3,CB,Upper,"AK, GC",2/2/20,12:15
16,20200226_CB_Upper_2,2,CB,Upper,AK,2/26/20,13:10
77,20200226_CB_Upper_1,1,CB,Upper,ES,2/26/20,13:30
78,20200226_CB_Upper_3,3,CB,Upper,AK,2/26/20,14:00
24,20200429_CB_Upper_1,1,CB,Upper,IH,4/29/20,10:30
34,20200429_CB_Upper_2,2,CB,Upper,IH,4/29/20,11:15
26,20200429_CB_Upper_3,3,CB,Upper,IH,4/29/20,11:30
47,20200512_CB_Upper_1,1,CB,Upper,IH,5/12/20,9:00
48,20200512_CB_Upper_2,2,CB,Upper,IH,5/12/20,9:30
49,20200512_CB_Upper_3,3,CB,Upper,IH,5/12/20,9:45
66,20200201_CB_O6_2,,,,,,
71,20200226_CB_Aspen_2,,,,,,
72,20200226_CB_F13_2,,,,,,