UL-lat,UL-lon
38.71024,-120.0419
37.61959,-119.0291
39.42212,-120.29898
40.51857,-105.8935
39.90552,-105.88286
39.03044,-108.2148
40.03148,-105.59065
37.90702,-107.7263
38.88812,-107.10796
43.7363,-116.12188
35.85789,-106.5319
40.5721,-111.63759
38.71034,-120.04182
37.64329,-119.00027
39.43041,-120.23981
40.52412,-105.89188
39.90705,-105.87777
39.05107,-108.03187
40.05497,-105.54613
37.90717,-107.71118
38.95931,-106.97094
44.30464,-115.2345
35.88862,-106.52136
40.59125,-111.62997