# Location,NW
# Site,FS
# PitID,2
# Date/Local Time,2020-02-12T11:08
# UTM Zone,13N
# Easting (m),452480
# Northing (m),4432343
# Latitude (deg),40.03998
# Longitude (deg),-105.55703
# Slope (deg),NaN
# Aspect (deg),S
# Air Temp (deg C),NaN
# Total Depth (cm),128
# Surveyors,AM
# Weather,nan
# Precip,None
# Sky,Few (< 1/4 of sky)
# Wind,Calm
# Ground Condition,Frozen
# Ground Roughness,Rough
# Ground Vegetation,Deadfall
# Vegetation Depth,
# Tree Canopy,Closed (>70%)
# Comments:,Elev 3149m      011 Wayoint
